periodo,total,edif,ing,especial
2006/01,663694,341993,225964,95737
2006/02,671800,350413,227515,93872
2006/03,682732,357940,225476,99316
2006/04,685589,352852,231617,101120
2006/05,689087,357555,228916,102616
2006/06,693860,367977,223851,102032
2006/07,703825,368141,233588,102096
2006/08,715480,377011,234282,104187
2006/09,711499,372433,234058,105008
2006/10,704033,361316,234888,107829
2006/11,690337,360332,234588,95417
2006/12,680529,336118,243751,100660
2007/01,694479,356806,230455,107218
2007/02,686208,360019,222004,104185
2007/03,700003,361377,234473,104153
2007/04,696368,361358,229017,105993
2007/05,696882,365520,228461,102901
2007/06,706278,378257,225957,102064
2007/07,715697,387966,228691,99040
2007/08,719741,383458,237353,98930
2007/09,715376,379898,225144,110334
2007/10,712230,382789,226906,102535
2007/11,704417,379899,225128,99390
2007/12,688858,370819,221322,96717
2008/01,700302,373836,224967,101499
2008/02,688906,368075,218238,102593
2008/03,669979,362237,208717,99025
2008/04,697293,378093,212142,107058
2008/05,698197,383875,209362,104960
2008/06,706675,371816,227846,107013
2008/07,720287,385030,225979,109278
2008/08,688501,360552,220963,106986
2008/09,676527,344942,227541,104044
2008/10,681021,351245,227931,101845
2008/11,648896,333551,218377,96968
2008/12,643400,325643,216511,101246
2009/01,667494,338886,224693,103915
2009/02,633026,316017,215864,101145
2009/03,640202,310483,226870,102849
2009/04,659202,326125,230116,102961
2009/05,652271,324974,224038,103259
2009/06,679545,344884,227866,106795
2009/07,671609,344706,224955,101948
2009/08,643676,315089,222269,106318
2009/09,631308,316009,216001,99298
2009/10,644506,332995,211734,99777
2009/11,601768,293455,206879,101434
2009/12,601633,295040,207705,98888
2010/01,637340,321161,209197,106982
2010/02,609242,312751,190000,106491
2010/03,629194,316843,200937,111414
2010/04,643321,321361,210717,111243
2010/05,647318,323781,209872,113665
2010/06,643230,317138,215553,110539
2010/07,666423,323034,224355,119034
2010/08,659195,309048,227478,122669
2010/09,658852,321023,223641,114188
2010/10,676201,333647,226635,115919
2010/11,648822,310404,225253,113165
2010/12,650368,312236,223813,114319
2011/01,663703,299948,231753,132002
2011/02,625863,324524,202804,98535
2011/03,634879,326621,212100,96158
2011/04,647389,336082,213235,98072
2011/05,659675,340714,215315,103646
2011/06,666256,338836,224363,103057
2011/07,679659,350326,231584,97749
2011/08,682353,348916,232993,100444
2011/09,683431,344044,236044,103343
2011/10,698500,355330,234754,108416
2011/11,677023,339592,233524,103907
2011/12,673569,325443,250266,97860
2012/01,682698,328754,266975,86969
2012/02,649226,305890,250247,93089
2012/03,651706,303682,253758,94266
2012/04,671038,318848,259697,92493
2012/05,689917,320823,272882,96212
2012/06,692839,309541,278592,104706
2012/07,699648,308484,286317,104847
2012/08,704400,319849,273074,111477
2012/09,702027,330305,264504,107218
2012/10,698986,325059,264223,109704
2012/11,685738,308567,268485,108686
2012/12,648472,291498,257186,99788
2013/01,667518,279505,287734,100279
2013/02,639368,272797,275933,90638
2013/03,632781,288114,247173,97494
2013/04,672216,308852,253218,110146
2013/05,679713,312282,256471,110960
2013/06,665476,290864,255371,119241
2013/07,664139,305543,264945,93651
2013/08,649221,294878,263113,91230
2013/09,640943,279174,267615,94154
2013/10,640116,273583,272816,93717
2013/11,653209,275893,281996,95320
2013/12,626280,261556,272982,91742
2014/01,641185,270883,273541,96761
2014/02,614890,261539,253841,99510
2014/03,613775,266862,255674,91239
2014/04,647243,281059,265311,100873
2014/05,655753,293232,257946,104575
2014/06,662838,300692,247848,114298
2014/07,664377,303452,252218,108707
2014/08,657618,307259,249769,100590
2014/09,644239,290872,250486,102881
2014/10,645949,300569,248701,96679
2014/11,658719,299834,257218,101667
2014/12,638121,284504,258396,95221
2015/01,645340,288868,252774,103698
2015/02,621012,280994,241329,98689
2015/03,619817,286093,237309,96415
2015/04,636272,281977,253929,100366
2015/05,644283,287745,253956,102582
2015/06,640648,283984,255047,101617
2015/07,646460,285017,250946,110497
2015/08,626986,275623,242677,108686
2015/09,630101,278621,241239,110241
2015/10,626623,276874,250444,99305
2015/11,634791,279102,249132,106557
2015/12,621429,284406,248973,88050
2016/01,630152,280813,251280,98059
2016/02,613097,280329,242838,89930
2016/03,611981,279583,238907,93491
2016/04,610801,285248,224530,101023
2016/05,609610,282170,226107,101333
2016/06,621695,294935,228848,97912
2016/07,615596,284447,225768,105381
2016/08,616707,282680,230643,103384
2016/09,619448,279453,228217,111778
2016/10,614645,277326,224879,112440
2016/11,624345,281999,233047,109299
2016/12,617760,288062,226204,103494
2017/01,606603,278793,219547,108263
2017/02,610622,274353,219955,116314
2017/03,610367,284592,210986,114789
2017/04,590523,272764,205761,111998
2017/05,597721,280820,205866,111035
2017/06,591476,283710,197808,109958
2017/07,591212,281070,201015,109127
2017/08,595168,282296,201959,110913
2017/09,592396,286106,197844,108446
2017/10,598478,285864,198812,113802
2017/11,599836,282867,202920,114049
2017/12,613103,286912,217073,109118
2018/01p/,606820,292227,206743,107850
2018/02,600185,286219,208364,105602
2018/03,603777,287322,208738,107717
2018/04,598293,285113,206451,106729
2018/05,600051,290443,202039,107569
2018/06,601165,291973,202310,106882
2018/07,603952,293374,202325,108253
2018/08,595048,290764,196533,107751
2018/09,597479,286079,198610,112790
2018/10,593238,283082,196029,114127
2018/11,593082,280543,199291,113248
2018/12,582274,273774,195050,113450
2019/01,580821,274514,199026,107281
2019/02,576524,267348,198416,110760