periodo,edif,ing,especial
2006/01,17221872.01,14340914.71,4530238.967
2006/02,18199764.2,13454481.24,3270958.751
2006/03,18365356.77,14572347.27,4110837.906
2006/04,18339860.85,13584540.71,3549483.88
2006/05,18555069.16,13679858.26,3763341.5
2006/06,18410650.06,14623304.31,3890973.012
2006/07,19491487.59,14736483.95,4057736.552
2006/08,20031020.55,14718948.75,3851961.674
2006/09,20405675.08,14581751.74,3999364.526
2006/10,19878141.85,15050297.22,4743500.856
2006/11,20865335.1,15816179.33,4267619.627
2006/12,21376284.87,17125750.83,5537018.355
2007/01,18682604.23,15268237.74,4227571.969
2007/02,19858350.16,13412955.91,3677299.14
2007/03,20484861.42,13588105.13,3877488.49
2007/04,19255803.87,13361343.45,4060293.14
2007/05,19585460.99,13512827.76,3486858.727
2007/06,19293398.5,14257337.2,3514125.423
2007/07,21024694.25,14311909.11,3221963.321
2007/08,20705131.81,14472427.26,3799945.339
2007/09,21013510.39,14730639.88,3867210.771
2007/10,21281045.91,15516569.07,4004396.097
2007/11,21026072.39,15991266.45,4197890.333
2007/12,23978262.1,16221714.78,4104856.956
2008/01,20536818.4,14646767.77,3479953.482
2008/02,20350765.36,13208106.91,3477215.5
2008/03,20205953.22,13064285.22,2567541.84
2008/04,20675874.7,13955796.32,2753827.552
2008/05,20533844.88,13407228.44,2685329.951
2008/06,20330885.79,14886602.15,2803462.436
2008/07,22177817.91,14288192.95,2695366.653
2008/08,20233240.01,13892214.47,2967978.723
2008/09,19858071.67,14711981.36,2801672.835
2008/10,20911565.19,14983396.59,3416654.119
2008/11,19724515.32,15486664.98,2939703.662
2008/12,21752571.46,17053843.73,2956937.361
2009/01,15511235.89,15554689.61,4030790.16
2009/02,14846153.52,15461673.1,4109295.4
2009/03,14613986.91,16254896.79,3629532.056
2009/04,14354225.18,15861896.88,3899777.547
2009/05,14670527.61,15464848.67,4156464.264
2009/06,15855536.08,16302490.88,3896730.03
2009/07,16733218.24,16075461.84,3803492.292
2009/08,15661838.57,15223987.17,3920357.899
2009/09,15314410.52,15874383.15,3946035.696
2009/10,16532643.88,16835265.23,3995860.046
2009/11,16532177.02,15834038.89,4449916.491
2009/12,17521202.79,16112474.18,4526239.884
2010/01,15460813.07,13840127.66,3514045.806
2010/02,15251144.17,13452899.99,3545680.089
2010/03,17070891.85,13659180.85,3406681.926
2010/04,16018328.1,13928086.37,3766815.523
2010/05,16134137.41,14422185,3747020.244
2010/06,17302638.79,13873476.23,3337812.173
2010/07,17609378.51,14095260.84,3658095.165
2010/08,17287803.94,14150536.82,4650122.36
2010/09,18628193.57,13933609.43,4877450.044
2010/10,19169972.72,15264884.94,5316202.053
2010/11,18264316.14,16791562.16,4291374.734
2010/12,19502321.12,16158509.73,5401233.289
2011/01,16720154.7,13825239.13,3515522.285
2011/02,16267124.26,13317603.15,3548063.757
2011/03,16311391.1,13615628.63,4531277.012
2011/04,16462508.01,13147262.45,4375911.144
2011/05,16868879.44,13402142.36,4917188.144
2011/06,16992341,14203466.86,4819169.119
2011/07,17610642.75,13628453.67,5073858.433
2011/08,18170523.03,14359472.72,4999275.257
2011/09,19118891.46,15019204.17,5023070.577
2011/10,19824559.75,15975981.83,5356173.437
2011/11,18584798.8,16706992.95,5616234.534
2011/12,19626829.61,17186001,5847660.951
2012/01,15286280.64,16003146.14,2973438.797
2012/02,15348534.8,15389801.63,3201741.361
2012/03,15104559.07,16677061.98,3459829.595
2012/04,16604424.84,16032891.79,2826271.723
2012/05,16878785.32,17801518.29,2973170.917
2012/06,16593843,17855578,3241852
2012/07,18050612.28,17581445.24,3083720.612
2012/08,17771500.85,18029253.27,3752029.92
2012/09,18419090.99,18337178.25,3674937.146
2012/10,19694997.44,19148732.28,3970289.335
2012/11,18120994.41,19341565.98,4430523.005
2012/12,18018913.42,19846617.55,4005370.747
2013/01,15069574.02,15334908.66,3542419.352
2013/02,15350242.65,15037478.9,3212452.228
2013/03,16124048.02,14905907.03,2959195.694
2013/04,17316772.27,15437487.69,3129149.768
2013/05,17626594.79,16202758.92,3221412.854
2013/06,15961044.99,16932101.59,3361862.102
2013/07,16680843.85,17360278.77,3045311.946
2013/08,17065079.68,16561481.3,3229771.704
2013/09,16770363.37,16691810.08,3837738.862
2013/10,17137092.83,18059369.83,3242953.019
2013/11,17140765.25,20133119.82,3421425.944
2013/12,17240539.21,20246282.3,3799408.532
2014/01,14932895.12,15105536.37,3220673.216
2014/02,14629840.47,15560452.03,3007710.779
2014/03,15666437.3,14748920.87,3050959.631
2014/04,16190190.21,15418031.47,2826462.567
2014/05,16956258.21,16123692.33,3033048.076
2014/06,16716809.44,15654528.95,3625691.93
2014/07,16928998.83,16538409.8,3829271.228
2014/08,16815382.03,16728273.95,3840780.022
2014/09,16389780.98,17651572.86,3898951.429
2014/10,18354524.6,17889354.89,3683472.242
2014/11,17793567.67,20188724.1,3527243.275
2014/12,18642075.99,20201455.96,3723512.383
2015/01,15737702.23,15465690.2,3005194.07
2015/02,16123373.94,15188429.51,2803928.268
2015/03,17882648.15,14212442.21,2705591.416
2015/04,17261701.28,14555984.62,3137461.164
2015/05,17436462.8,15338394.04,3424667.088
2015/06,16937939.19,16116543.09,3376480.389
2015/07,18086217.93,16846856.37,3052313.99
2015/08,17313424.31,16232966.22,3218749.262
2015/09,17698767.18,16850307.57,3279572.42
2015/10,17621879.2,17679533.25,3213557.051
2015/11,17831782.11,17972151.99,3793735.18
2015/12,17774000.64,19899630.73,3792938.597
2016/01,14880828.53,15577671.86,3583575.358
2016/02,15150797.69,15732702.59,3256798.36
2016/03,15496626.42,15681732.13,3178836.697
2016/04,15985644.33,14983586.86,3432771.779
2016/05,16004404.15,16096614.96,3580861.79
2016/06,16405324.35,16239848.63,3470732.889
2016/07,16341630.17,15507957.1,4169975.853
2016/08,17191180.06,15793960.33,3448743.771
2016/09,17672862,15868768.39,3520787.082
2016/10,18365027.44,15804029.87,3599396.599
2016/11,19348278.89,15504602.58,4130098.359
2016/12,19438259.45,16710012.83,4699309.438
2017/01,15246150.5,13674124.1,4087381.989
2017/02,15440835.72,13480119.28,4793279.18
2017/03,15758150.21,13911872.39,4490065.622
2017/04,15207826.18,13285987.41,3986761.695
2017/05,16595776.15,13661693.72,4133296.735
2017/06,15897353.74,14000679.6,4270486.392
2017/07,15805637.99,14297653.5,4173671.639
2017/08,16507262.01,14562920.49,3973345.388
2017/09,17100834.91,14214648.07,3600572.101
2017/10,18017501.33,14497090.79,3880581.001
2017/11,17841655.93,15375472.68,4191757.537
2017/12,18304705.27,17387876.33,4955487.054
2018/01p/,15765033.45,13844015.75,3918965.162
2018/02,15817153.54,13413058.75,4027443.801
2018/03,15975908.8,13900143.08,4028582.811
2018/04,15258525,13996334.21,3840178.712
2018/05,15735520.78,14636097.4,4221177.941
2018/06,16489257.43,14391426.75,3958626.725
2018/07,16653406.63,14397948.98,4011564.256
2018/08,16613747.44,14205967.27,4137393.777
2018/09,16887602.56,14471936.51,3999849.282
2018/10,17562774.68,14848035.28,3804886.201
2018/11,17373042.87,15175974.87,3986743.317
2018/12,17228546.33,15536125.37,5074665.726
2019/01,15116332.53,14093198.08,3729550.573
2019/02,14890141.12,12976530.01,4362232.563